Geocodigo,Nome,UF,Lat,Lon
3527405,LUCÉLIA,SP,-21.7207,-51.0193
3527504,LUCIANÓPOLIS,SP,-22.4316,-49.5229
3527603,LUÍS ANTÔNIO,SP,-21.5555,-47.7048
3527702,LUIZIÂNIA,SP,-21.6763,-50.3271
3527801,LUPÉRCIO,SP,-22.4155,-49.8176
3527900,LUTÉCIA,SP,-22.3405,-50.3926
3528007,MACATUBA,SP,-22.5027,-48.7118
3528106,MACAUBAL,SP,-20.8063,-49.9643
3528205,MACEDÔNIA,SP,-20.1463,-50.1949
3528304,MAGDA,SP,-20.6444,-50.2265
3528403,MAIRINQUE,SP,-23.5463,-47.1837
3528502,MAIRIPORÃ,SP,-23.3191,-46.5871
3528601,MANDURI,SP,-23.0038,-49.3224
3528700,MARABÁ PAULISTA,SP,-22.1085,-51.9629
3528809,MARACAÍ,SP,-22.611,-50.6676
3528858,MARAPOAMA,SP,-21.2596,-49.1293
3528908,MARIÁPOLIS,SP,-21.7994,-51.1818
3529005,MARÍLIA,SP,-22.2144,-49.9463
3529104,MARINÓPOLIS,SP,-20.441,-50.8235
3529203,MARTINÓPOLIS,SP,-22.1463,-51.1713
3529302,MATÃO,SP,-21.6038,-48.3662
3529401,MAUÁ,SP,-23.6683,-46.4618
3529500,MENDONÇA,SP,-21.1671,-49.5812
3529609,MERIDIANO,SP,-20.3596,-50.1737
3529658,MESÓPOLIS,SP,-19.9668,-50.6385
3529708,MIGUELÓPOLIS,SP,-20.1799,-48.0323
3529807,MINEIROS DO TIETÊ,SP,-22.4099,-48.451
3530003,MIRA ESTRELA,SP,-19.9799,-50.1376
3529906,MIRACATU,SP,-24.2819,-47.4601
3530102,MIRANDÓPOLIS,SP,-21.1341,-51.1021
3530201,MIRANTE DO PARANAPANEMA,SP,-22.2924,-51.9068
3530300,MIRASSOL,SP,-20.8196,-49.5215
3530409,MIRASSOLÂNDIA,SP,-20.6171,-49.4643
3530508,MOCOCA,SP,-21.4683,-47.0051
3530607,MOGI DAS CRUZES,SP,-23.5233,-46.1887
3530706,MOGI GUAÇU,SP,-22.3727,-46.9426
3530805,MOJI MIRIM,SP,-22.4324,-46.9582
3530904,MOMBUCA,SP,-22.9296,-47.5665
3531001,MONÇÕES,SP,-20.8507,-50.0921
3531100,MONGAGUÁ,SP,-24.0935,-46.6212
